world,history,188
time,discipline,125
factory,system,50
blanch,farm,46
community,development,44
development,funds,44
clock,time,25
time,regimes,25
time,disciplines,25
market,forces,25
time,awareness,25
work,discipline,25
fifteen,years,25
approach,proceeds,25
porcelain,production,24
versus,tradition,24
trade,networks,24
modernity,versus,24
network,formation,24
twentieth-century,ideologies,24
seventy,thousand,24
ninety,percent,24
business,career,23
county,farm,23
administration,occur,23
exchequer,system,23
recurrent,scandals,22
city,council,22
development,movement,22
county,officials,22
government,services,22
council,persons,22
exclusion,logical,21
labor,experiences,21
nothing,permanent,21
Apache,companies,21
work,periods,21
reservation,life,21
army,careers,21
work,tasks,21
enhance,incorporation,21
colonial,drawing,21
colonial,society,21
labor,system,21
army,community,21
acquaintances,drop,20
colonial,surveyor,20
water,desire,20
reality,construct,20
colonial,identity,20
telegraphic,network,20
consumer,culture,20
health,services,19
research,institute,19
control,group,19
grinding,poverty,19
random,groups,19
colonial,governments,19
population,density,19
health,campaigns,19
laboratory,work,19
modernist,attempt,19
reform,projects,19
opinion,polls,18
symbol,scholarship,18
studies,movement,18
zero,sums,18
history,articles,18
luxury,goods,18
embeddedness,reverberate,18
jazz,tours,18
population,policy,18
antebellum,slavery,18
ground-,swells,18
market,cultures,18
knowledge,production,18
swan,song,18
historys,swan,18
party,contests,17
party,leaders,17
nations,fragility,17
manmade,process,17
state,fragility,17
history,rests,17
army,general,17
discourse,need,17
philosopher,Alain,16
race,politics,16
art,collectors,16
profound,shift,16
flea,markets,16
record,prices,16
art,galleries,16
land,mass,15
evidence,confirms,15
metal,characters,15
language,poetry,15
communications,media,14
royal,decrees,14
state,intervention,14
print,media,14
property,serving,14
possidetis,juris,14
media,coverage,14
border,lines,14
mass,communications,14
civilization,alien,13
socialist,system,13
history,systems,13
history,coincides,13
bourgeois,historians,13
history,model,13
identity,formation,13
globalization,process,13
sciences,sector,13
history,textbook,13
history,writing,13
rapid,development,13
historys,criticism,13
growth,season,12
ice,cores,12
family,issues,12
turn,spread,12
climate,change,12
freshwater,snails,12
winter,snow,12
question,arises,12
infantry,force,11
nothing,good,11
man,happier,11
home,countries,11
lesson,time,11
area,studies,10
organizing,principle,10
conference,papers,10
woman,poet,10
score,years,10
middle-class,arrival,10
research,beginning,10
family,car,10
trading,site,9
rock,crystal,9
porcelain,ware,9
analysis,undertaken,9
jar,shards,9
glass,beads,9
port,states,9
absolute,reliability,9
kiln,sites,9
exchange,goods,9
trade,goods,9
goods,trade,9
trading,sites,9
tortoise,shell,9
long-distance,commerce,9
set,roles,8
dure,history,8
world,order.54,8
status,distinctions,8
viewing,practice,8
tu,production,8
connoisseurship,texts,8
phenomenon,belongs,8
order.54,Links,8
tu,images,8
painting,albums,8
woodblock,prints,8
inland,areas,8
production,images,8
disparate,people,8
sex,roles,7
state,dinners,7
textbook,example,7
iron,butterfly,7
corporeal,displays,7
press,conferences,7
public/private,divide,7
sex,appeal,7
tribune,newspaper,7
power,differentials,7
twin,sister,7
rights,feminism,6
rights,activists,6
birth,control,6
control,policy,6
health,problem,6
Church,structure,6
rights,agenda,6
dissent,activism,6
women,stands,5
women,poets,5
disease,towards,5
majority,canon,5
name,recognition,4
male,party,4
party,auxiliaries,4
film,star,4
male,politicians,4
state,party,4
party,politics,4
female,leaders,4
alternate,delegate,4
party,structure,4
party,loyalty,4
accommodation,politics,4
leadership,skills.2,4
party,leadership,4
women,candidates,4
population,increase,3
colonial,status,3
colonial,officers,3
colonial,army,3
colonial,troops,3
labor,force,3
colonial,hegemony.39,3
status,quo.38,3
humane,intentions,2
rearing,practices,2
Protector,Symmons,2
settler,imagination,2
childrena,fact,2
science,fiction,2
child,rearing,2
decreasing,numbers,2
labouring,population,2
mining,company,1
official,statement,1
history,class,1
authorities,concern,1
],hegemony,1
companys,bulldozers,1
crime,novels,1
status,quo,1
Science,fiction,1
discussion,amongst,1
amongst,students,1
Full-page,adverts,1
sands,projects,1
tar,sands,1
mountain,[,1
separation,barrier,1
nations,history,1
film,industry,1
